2013,5,13,Orange,255,140,0,2013/5/13,41407
2013,5,28,Yellow,255,255,0,2013/5/28,41422
2013,6,4,Orange,255,140,0,2013/6/4,41429
2013,7,2,Yellow,255,255,0,2013/7/2,41457
2013,8,8,Green,0,255,0,2013/8/8,41494
2014,5,31,Orange,255,140,0,2014/5/31,41790
2014,6,2,Red,255,0,0,2014/6/2,41792
2014,6,3,Orange,255,140,0,2014/6/3,41793
2014,6,25,Yellow,255,255,0,2014/6/25,41815
2014,7,30,Green,0,255,0,2014/7/30,41850
2014,11,12,Orange,255,140,0,2014/11/12,41955
2014,11,15,Red,255,0,0,2014/11/15,41958
2014,11,16,Orange,255,140,0,2014/11/16,41959
2014,11,25,Yellow,255,255,0,2014/11/25,41968
2015,1,15,Green,0,255,0,2015/1/15,42019
2106,3,27,Red,255,0,0,2106/3/27,75327
2016,3,28,Orange,255,140,0,2016/3/28,42457
2016,4,6,Yellow,255,255,0,2016/4/6,42466
2016,4,22,Green,0,255,0,2016/4/22,42482
2016,5,13,Orange,255,140,0,2016/5/13,42503
2016,5,20,Yellow,255,255,0,2016/5/20,42510
2016,6,17,Green,0,255,0,2016/6/17,42538
2016,7,1,Yellow,255,255,0,2016/7/1,42552
2016,7,28,Orange,255,140,0,2016/7/28,42579
2016,8,4,Yellow,255,255,0,2016/8/4,42586
2017,2,2,Green,0,255,0,2017/2/2,42768
2017,6,7,Yellow,255,255,0,2017/6/7,42893
2017,8,30,Green,0,255,0,2017/8/30,42977
2019,5,15,Yellow,255,255,0,2019/5/15,43600
2019,6,12,Green,0,255,0,2019/6/12,43628
2019,10,19,Yellow,255,255,0,2019/10/19,43757
